generation,rank_1,rank_2,swapAccepted
1000,1,3,0
2000,3,4,1
3000,2,4,0
4000,2,3,1
5000,1,3,0
6000,3,4,1
7000,3,4,0
8000,1,3,1
9000,1,2,1
10000,3,4,1
11000,2,4,0
12000,1,4,1
13000,2,3,1
14000,2,4,1
15000,2,3,1
16000,1,3,1
17000,1,2,1
18000,1,4,1
19000,2,4,1
20000,3,4,1
21000,3,4,1
22000,2,3,1
23000,1,2,1
24000,2,4,1
25000,2,4,1
26000,2,4,1
27000,2,4,1
28000,1,3,1
29000,2,3,1
30000,2,3,1
31000,1,2,1
32000,3,4,1
33000,2,4,0
34000,3,4,1
35000,1,3,1
36000,2,3,1
37000,1,3,1
38000,2,3,1
39000,3,4,1
40000,2,4,1
41000,1,3,1
42000,2,4,0
43000,1,4,1
44000,2,3,1
45000,1,2,1
46000,3,4,1
47000,2,3,1
48000,2,3,1
49000,2,4,1
50000,3,4,1
51000,2,3,1
52000,2,3,1
53000,2,3,1
54000,1,4,1
55000,1,2,1
56000,2,3,1
57000,1,4,0
58000,3,4,1
59000,1,3,1
60000,2,3,1
61000,3,4,1
62000,1,3,1
63000,1,2,1
64000,2,4,1
65000,2,4,1
66000,1,4,1
67000,2,4,1
68000,2,4,1
69000,1,3,0
70000,1,4,1
71000,1,3,1
72000,1,4,1
73000,1,4,1
74000,3,4,1
75000,1,3,1
76000,1,2,1
77000,3,4,1
78000,2,4,0
79000,3,4,1
80000,2,3,1
81000,1,4,0
82000,1,2,1
83000,2,3,1
84000,2,3,1
85000,2,4,1
86000,1,3,1
87000,2,4,1
88000,1,3,1
89000,2,4,1
90000,1,2,1
91000,2,3,1
92000,2,4,1
93000,3,4,1
94000,2,4,1
95000,1,2,1
96000,1,3,1
97000,1,4,1
98000,2,3,1
99000,1,2,1
100000,1,3,1
101000,1,2,1
102000,1,3,1
103000,3,4,1
104000,2,4,1
105000,2,3,1
106000,2,3,1
107000,1,4,1
108000,1,4,1
109000,1,3,1
110000,1,4,1
111000,1,4,1
112000,1,4,1
113000,1,4,0
114000,3,4,1
115000,2,4,1
116000,1,3,1
117000,3,4,1
118000,1,2,1
119000,1,4,1
