generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.576794,-4.18595e+07,1,1
1000,2,3.58551,-69308.9,0.51001,0.784216
2000,2,-5.83937,-13139.8,1.4571,0.667
3000,4,-24.034,-3313.08,2.92797,0.603
4000,2,-133.917,-865.55,1.49071,0.541
5000,2,-289.432,-416.233,0.949983,0.492
6000,2,-221.918,-460.964,0.901424,0.515
7000,5,-202.538,-457.837,1.2523,0.423
8000,5,-210.312,-421.871,5.36756,0.408
9000,6,-206.721,-335.585,3.65643,0.419
10000,5,-55.6009,-277.344,4.54825,0.60374
11000,4,-10.9211,-241.59,1.94251,0.64276
12000,2,-8.56519,-223.263,1.36506,0.477
13000,4,-6.69059,-225.912,1.16711,0.481
14000,4,-46.6792,-258.939,4.10484,0.4242
15000,6,-45.5739,-267.06,3.8927,0.43
16000,7,-50.3108,-256.414,6.36352,0.422
17000,5,-52.0935,-256.844,4.76471,0.429
18000,7,-55.2182,-247.74,2.82464,0.436
19000,5,-51.6708,-252.267,4.71321,0.414
20000,7,-57.3103,-251.703,6.68826,0.406
21000,8,-7.17621,-170.623,2.33035,0.42725
22000,9,-7.50056,-155.518,7.03915,0.378
23000,8,-7.42473,-158.66,5.05787,0.375
24000,6,-5.97069,-168.73,2.94106,0.314
25000,5,-6.30029,-174.141,2.98843,0.396
26000,7,-1.56873,-181.069,3.71317,0.385
27000,7,1.12791,-183.019,2.93607,0.397
28000,4,-2.43474,-187.649,5.67827,0.393
29000,4,2.35136,-192.779,1.37483,0.444
30000,5,-2.08364,-197.171,4.40184,0.409
31000,4,-2.38011,-187.451,3.33794,0.397
32000,7,-5.95834,-176.133,4.40831,0.427
33000,3,1.95345,-182.582,0.927401,0.392
34000,3,-0.259996,-185.237,1.63757,0.37
35000,5,-23.7469,-211.622,6.10829,0.454829
36000,5,-20.1908,-213.729,2.80639,0.44
37000,4,-22.8396,-207.102,3.23319,0.426
38000,5,-21.6921,-209.103,3.99619,0.447
39000,4,-10.8996,-171.034,4.15428,0.419
40000,6,4.87806,-182.833,1.89666,0.3975
41000,3,1.06181,-187.354,2.17614,0.4
42000,3,-0.74407,-188.815,3.15653,0.433
43000,3,0.501646,-194.89,1.21293,0.433
44000,4,-5.43581,-199.893,4.08085,0.399
45000,5,-7.07739,-182.16,5.20593,0.395
46000,4,-6.486,-192.656,6.82682,0.413
47000,6,-1.13674,-175.741,3.04696,0.404
48000,6,-0.852172,-182.656,4.38002,0.386
49000,7,-0.78378,-176.765,4.15829,0.407
50000,7,2.30503,-178.173,2.49943,0.392
51000,8,0.628837,-194.623,1.78593,0.404
52000,6,-6.79904,-192.54,5.48655,0.437
53000,4,-0.550655,-211.022,1.62766,0.435
54000,6,-4.09498,-196.674,4.79724,0.436
55000,4,-5.38616,-195.139,2.15483,0.451
56000,5,-0.880789,-202.47,1.46375,0.438
57000,4,-0.478116,-194.227,1.86197,0.426
58000,5,1.0513,-162.878,3.64633,0.386533
59000,4,-0.0298293,-180.492,3.29247,0.399
60000,4,-2.55192,-172.131,4.23186,0.367
61000,3,-0.916227,-165.27,1.42121,0.362
62000,4,-1.12413,-192.816,1.76854,0.4158
63000,4,1.28001,-177.718,3.01032,0.3695
64000,4,0.662134,-193.668,3.68127,0.437
65000,4,0.966347,-180.455,1.48458,0.438
66000,3,0.690947,-163.35,0.953731,0.417
67000,4,-3.28432,-172.327,6.79512,0.351
68000,7,-3.13411,-188.876,5.29605,0.435833
69000,7,-0.0375453,-198.466,3.52611,0.468
70000,6,1.00286,-189.458,2.07793,0.41
71000,4,-16.7408,-226.603,2.05057,0.407784
72000,4,2.57358,-182.54,1.90831,0.4245
73000,3,1.4402,-190.27,1.45271,0.408
74000,4,1.96853,-186.479,2.10049,0.398
75000,6,-25.3075,-220.512,5.10922,0.428
76000,6,-6.49297,-196.233,4.13191,0.4315
77000,3,-1.24441,-195.574,1.63388,0.459
78000,4,2.08808,-183.557,2.26303,0.379182
79000,3,1.92806,-207.217,1.62029,0.4365
80000,4,1.93494,-179.844,3.53341,0.458
81000,4,-1.82579,-184.616,1.95079,0.405
82000,7,5.94158,-186.891,1.70706,0.436
83000,4,0.663632,-202.067,3.35526,0.426
84000,3,-0.254502,-197.711,2.68147,0.425
85000,5,1.2731,-184.1,2.99179,0.419
86000,7,-10.966,-191.225,3.79266,0.429364
87000,8,-15.0782,-192.78,3.74655,0.423
88000,13,-17.5999,-189.915,9.83039,0.481
89000,12,-23.4094,-190.931,6.04262,0.423
90000,6,-26.2792,-188.021,7.50376,0.428
91000,3,2.56737,-172.288,1.54997,0.4125
92000,4,3.77863,-161.88,1.72022,0.371
93000,4,-14.9566,-206.61,0.818325,0.416333
