"species","WG_num_transcript","WG_num_gene","WG_num_exon","WG_num_uniqExon","WG_min_transcriptPerGene","WG_min_exonPerTranscript","WG_min_exonPerGene","WG_q1_transcriptPerGene","WG_q1_exonPerTranscript","WG_q1_exonPerGene","WG_median_transcriptPerGene","WG_median_exonPerTranscript","WG_median_exonPerGene","WG_q3_transcriptPerGene","WG_q3_exonPerTranscript","WG_q3_exonPerGene","WG_max_transcriptPerGene","WG_max_exonPerTranscript","WG_max_exonPerGene","WG_mean_transcriptPerGene","WG_mean_exonPerTranscript","WG_mean_exonPerGene","WG_std_transcriptPerGene","WG_std_exonPerTranscript","WG_std_exonPerGene","ortho_num_transcript","ortho_num_gene","ortho_num_exon","ortho_num_uniqExon","ortho_min_transcriptPerGene","ortho_min_exonPerTranscript","ortho_min_exonPerGene","ortho_q1_transcriptPerGene","ortho_q1_exonPerTranscript","ortho_q1_exonPerGene","ortho_median_transcriptPerGene","ortho_median_exonPerTranscript","ortho_median_exonPerGene","ortho_q3_transcriptPerGene","ortho_q3_exonPerTranscript","ortho_q3_exonPerGene","ortho_max_transcriptPerGene","ortho_max_exonPerTranscript","ortho_max_exonPerGene","ortho_mean_transcriptPerGene","ortho_mean_exonPerTranscript","ortho_mean_exonPerGene","ortho_std_transcriptPerGene","ortho_std_exonPerTranscript","ortho_std_exonPerGene"
"Acanthaster_planci",36222,18201,408629,190918,1,1,1,1,5,4,1,8,8,2,14,14,46,181,182,1.990110433,11.28123792,10.48991814,1.887905693,10.75063011,10.46968518,30899,14769,381644,174217,1,1,1,1,5,5,1,9,9,2,16,15,46,181,182,2.092152482,12.35133823,11.79646557,1.979334945,11.15675716,11.01489984
"Alligator_mississippiensis",51599,24844,582231,248967,1,1,1,1,4,3,1,8,7,2,15,13,40,317,317,2.076919981,11.28376519,10.02189664,2.077940386,10.75043379,10.1695328,42682,18476,551020,226075,1,1,1,1,6,5,1,10,9,3,17,16,40,317,317,2.310132063,12.90989176,12.23679368,2.264904844,11.12195721,10.85937427
"Alligator_sinensis",50637,23469,596427,243883,1,1,1,1,4,3,1,9,7,2,15,14,43,323,323,2.157612169,11.77848214,10.39332737,2.583809054,11.32534737,10.5209827,43356,17760,570559,223642,1,1,1,1,6,5,1,10,10,3,17,17,43,323,323,2.441216216,13.15986253,12.59375,2.864044269,11.62923651,11.12458538
"Anas_platyrhynchos",60269,24840,731543,253438,1,1,1,1,4,3,1,9,7,3,16,14,50,323,326,2.426288245,12.13796479,10.20402576,3.215823494,12.96183588,10.91096128,39801,12872,610744,189573,1,1,1,1,7,7,2,12,12,4,20,19,50,323,326,3.092060286,15.34494108,14.72871349,3.817244408,14.25144734,12.32031341
"Anolis_carolinensis",38780,21856,429984,214086,1,1,1,1,4,3,1,8,7,2,15,13,40,249,249,1.774341142,11.0877772,9.797584187,1.824325959,10.50258878,9.90244918,34346,18635,416948,203739,1,1,1,1,5,4,1,9,8,2,16,14,40,249,249,1.843090958,12.1396378,10.93517574,1.932187241,10.68724823,10.26002938
"Apteryx_mantelli_mantelli",26370,18636,262903,184594,1,1,1,1,4,3,1,8,7,1,13,13,30,324,324,1.41500322,9.969776261,9.906739644,1.149803476,9.218828523,9.943392,23002,15856,251559,175434,1,1,1,1,5,4,1,9,8,1,14,14,30,324,324,1.45068113,10.93639684,11.06527497,1.19900707,9.461690319,10.31365388
"Bos_taurus",79046,30676,911404,290626,1,1,1,1,4,2,1,8,5,3,16,13,51,335,335,2.576802712,11.5300458,9.478093624,3.20552728,11.75709095,10.90402717,63937,19642,866070,258545,1,1,1,1,6,5,2,11,10,4,18,18,51,335,335,3.255116587,13.54567778,13.16556359,3.738013008,12.12821403,11.91986888
"Branchiostoma_belcheri",36720,25484,408684,245336,1,1,1,1,4,3,1,8,7,1,14,12,50,406,406,1.440904097,11.12973856,9.629257573,1.637424823,11.77009298,10.59913617,31963,21378,385851,226418,1,1,1,1,5,4,1,9,8,1,15,13,50,406,406,1.495135186,12.07180177,10.59271213,1.731334867,12.18210464,11.10322472
"Branchiostoma_floridae",28627,28625,203274,203270,1,1,1,1,2,2,1,5,5,1,9,9,2,308,308,1.000069869,7.100778985,7.101275109,0.008358622,8.392127367,8.392343849,23397,23395,185714,185712,1,1,1,1,3,3,1,6,6,1,10,10,2,308,308,1.000085488,7.937513356,7.938191921,0.009245794,8.936547671,8.936781343
"Callithrix_jacchus",107778,35109,1355835,324957,1,1,1,1,4,2,1,9,5,3,17,13,50,330,332,3.06981116,12.57988643,9.261528383,4.554969456,13.2973673,11.42865611,83311,18860,1250835,271025,1,1,1,1,7,6,2,12,11,5,19,19,50,330,332,4.417338282,15.01404376,14.37836691,5.553141362,13.97991493,13.05555959
