species,commonName,group,database,taxid,link,filePrefix,num_transcript,num_gene,num_exon,num_uniqExon,min_transcriptPerGene,min_exonPerTranscript,min_exonPerGene,q1_transcriptPerGene,q1_exonPerTranscript,q1_exonPerGene,median_transcriptPerGene,median_exonPerTranscript,median_exonPerGene,q3_transcriptPerGene,q3_exonPerTranscript,q3_exonPerGene,max_transcriptPerGene,max_exonPerTranscript,max_exonPerGene,mean_transcriptPerGene,mean_exonPerTranscript,mean_exonPerGene,std_transcriptPerGene,std_exonPerTranscript,std_exonPerGene
Drosophila ananassae,D. ananassae,D. ananassae,FlyBase,7217,http://ftp.flybase.net/releases/FB2015_04/dana_r1.04/gtf/dana-all-r1.04.gtf.gz,dana-all-r1.04,23118,15744,128216,71923,1,1,1,1,2,2,1,4,3,1,7,6,49,78,89,1.468368902,5.546154512,4.569677337,1.553677565,5.454124085,4.526065328
Drosophila erecta,D. erecta,D. erecta,FlyBase,7220,http://ftp.flybase.net/releases/FB2015_04/dere_r1.04/gtf/dere-all-r1.04.gtf.gz,dere-all-r1.04,20853,14679,116501,66741,1,1,1,1,2,2,1,4,3,1,7,6,64,76,76,1.420600858,5.586774085,4.552966823,1.625212058,5.185538148,4.586428854
Drosophila grimshawi,D. grimshawi,D. grimshawi,FlyBase,7222,http://ftp.flybase.net/releases/FB2015_04/dgri_r1.3/gtf/dgri-all-r1.3.gtf.gz,dgri-all-r1.3,15507,15503,56812,56795,1,1,1,1,1,1,1,3,3,1,5,5,2,49,49,1.000258015,3.663635777,3.663484487,0.016061278,3.289598421,3.290060785
Drosophila melanogaster,D. melanogaster,D. melanogaster,FlyBase,7227,http://ftp.flybase.net/releases/FB2015_04/dmel_r6.07/gtf/dmel-all-r6.07.gtf.gz,dmel-all-r6.07,34478,17478,186766,83246,1,1,1,1,2,2,1,4,3,2,7,6,75,82,118,1.972651333,5.416961541,4.834019911,2.03706187,5.07303094,5.127941915
Drosophila mojavensis,D. mojavensis,D. mojavensis,FlyBase,7230,http://ftp.flybase.net/releases/FB2015_04/dmoj_r1.04/gtf/dmoj-all-r1.04.gtf.gz,dmoj-all-r1.04,21766,14609,122664,70933,1,1,1,1,2,2,1,4,3,1,7,6,60,71,71,1.489903484,5.635578425,4.857279759,1.65655211,5.079679422,4.651500985
Drosophila persimilis,D. persimilis,D. persimilis,FlyBase,7234,http://ftp.flybase.net/releases/FB2015_04/dper_r1.3/gtf/dper-all-r1.3.gtf.gz,dper-all-r1.3,17502,17498,59148,59145,1,1,1,1,1,1,1,2,2,1,4,4,2,47,47,1.000228598,3.379499486,3.380100583,0.015118147,2.917854892,2.918282275
Drosophila sechellia,D. sechellia,D. sechellia,FlyBase,7238,http://ftp.flybase.net/releases/FB2015_04/dsec_r1.3/gtf/dsec-all-r1.3.gtf.gz,dsec-all-r1.3,17199,17195,58767,58765,1,1,1,1,1,1,1,2,2,1,4,4,2,67,67,1.000232626,3.416884703,3.417563245,0.015250743,3.06370073,3.063971274
Drosophila simulans,D. simulans,D. simulans,FlyBase,7240,http://ftp.flybase.net/releases/FB2015_04/dsim_r2.01/gtf/dsim-all-r2.01.gtf.gz,dsim-all-r2.01,25981,15266,157948,76363,1,1,1,1,2,2,1,4,3,2,8,6,45,82,82,1.701886545,6.07936569,5.014607625,2.184216461,5.594304359,5.039209137
Drosophila virilis,D. virilis,D. virilis,FlyBase,7244,http://ftp.flybase.net/releases/FB2015_04/dvir_r1.03/gtf/dvir-all-r1.03.gtf.gz,dvir-all-r1.03,22365,14955,124938,71750,1,1,1,1,2,2,1,4,3,1,7,6,51,71,71,1.495486459,5.586317907,4.799465062,1.553349897,5.211141177,4.639596139
Drosophila willistoni,D. willistoni,D. willistoni,FlyBase,7260,http://ftp.flybase.net/releases/FB2015_04/dwil_r1.04/gtf/dwil-all-r1.04.gtf.gz,dwil-all-r1.04,16208,14785,69892,59653,1,1,1,1,2,2,1,3,3,1,5,5,70,70,100,1.096246195,4.31219151,4.035170781,0.767122444,3.889114553,3.672408965
Drosophila yakuba,D. yakuba,D. yakuba,FlyBase,7245,http://ftp.flybase.net/releases/FB2015_04/dyak_r1.04/gtf/dyak-all-r1.04.gtf.gz,dyak-all-r1.04,25139,16185,144210,75320,1,1,1,1,2,2,1,4,3,1,7,6,54,65,68,1.553228298,5.736505032,4.661167748,1.817596642,5.398307334,4.738006452
