species,commonName,group,database,taxid,link,filePrefix,num_transcript,num_gene,num_exon,num_uniqExon,min_transcriptPerGene,min_exonPerTranscript,min_exonPerGene,q1_transcriptPerGene,q1_exonPerTranscript,q1_exonPerGene,median_transcriptPerGene,median_exonPerTranscript,median_exonPerGene,q3_transcriptPerGene,q3_exonPerTranscript,q3_exonPerGene,max_transcriptPerGene,max_exonPerTranscript,max_exonPerGene,mean_transcriptPerGene,mean_exonPerTranscript,mean_exonPerGene,std_transcriptPerGene,std_exonPerTranscript,std_exonPerGene
Drosophila ananassae,D. ananassae,D. ananassae,FlyBase,7217,http://ftp.flybase.net/releases/FB2015_04/dana_r1.04/gtf/dana-all-r1.04.gtf.gz,dana-all-r1.04.OG_filter,19256,12418,118049,63147,1,1,1,1,3,2,1,4,4,1,8,6,49,78,89,1.550652279,6.130504778,5.086004187,1.711790843,5.720391536,4.813290534
Drosophila erecta,D. erecta,D. erecta,FlyBase,7220,http://ftp.flybase.net/releases/FB2015_04/dere_r1.04/gtf/dere-all-r1.04.gtf.gz,dere-all-r1.04.OG_filter,18629,12562,111885,62381,1,1,1,1,2,2,1,4,4,1,8,6,64,76,76,1.482964496,6.005958452,4.96990925,1.744459183,5.297050781,4.771830953
Drosophila grimshawi,D. grimshawi,D. grimshawi,FlyBase,7222,http://ftp.flybase.net/releases/FB2015_04/dgri_r1.3/gtf/dgri-all-r1.3.gtf.gz,dgri-all-r1.3.OG_filter,13229,13225,53029,53012,1,1,1,1,2,2,1,3,3,1,5,5,2,49,49,1.000302457,4.00854184,4.008468809,0.017389332,3.411058728,3.411630178
Drosophila melanogaster,D. melanogaster,D. melanogaster,FlyBase,7227,http://ftp.flybase.net/releases/FB2015_04/dmel_r6.07/gtf/dmel-all-r6.07.gtf.gz,dmel-all-r6.07.OG_filter,29823,13521,178092,76558,1,1,1,1,3,2,2,5,4,2,8,7,75,82,118,2.205680053,5.971632633,5.740181939,2.231813479,5.124628784,5.420200131
Drosophila mojavensis,D. mojavensis,D. mojavensis,FlyBase,7230,http://ftp.flybase.net/releases/FB2015_04/dmoj_r1.04/gtf/dmoj-all-r1.04.gtf.gz,dmoj-all-r1.04.OG_filter,18597,11990,113681,63345,1,1,1,1,3,2,1,5,4,1,8,7,60,71,71,1.551042535,6.112867667,5.284820684,1.791870083,5.255015789,4.85951044
Drosophila persimilis,D. persimilis,D. persimilis,FlyBase,7234,http://ftp.flybase.net/releases/FB2015_04/dper_r1.3/gtf/dper-all-r1.3.gtf.gz,dper-all-r1.3.OG_filter,13776,13772,52608,52605,1,1,1,1,2,2,1,3,3,1,5,5,2,47,47,1.000290444,3.818815331,3.819706651,0.017040572,3.092004361,3.092448323
Drosophila sechellia,D. sechellia,D. sechellia,FlyBase,7238,http://ftp.flybase.net/releases/FB2015_04/dsec_r1.3/gtf/dsec-all-r1.3.gtf.gz,dsec-all-r1.3.OG_filter,13880,13876,53396,53394,1,1,1,1,2,2,1,3,3,1,5,5,2,67,67,1.000288268,3.846974063,3.847938887,0.016976607,3.224784381,3.225027702
Drosophila simulans,D. simulans,D. simulans,FlyBase,7240,http://ftp.flybase.net/releases/FB2015_04/dsim_r2.01/gtf/dsim-all-r2.01.gtf.gz,dsim-all-r2.01.OG_filter,21732,12096,143296,66051,1,1,1,1,3,2,1,5,4,2,8,7,45,82,82,1.796626984,6.593778759,5.468584656,2.382860502,5.810792257,5.337319855
Drosophila virilis,D. virilis,D. virilis,FlyBase,7244,http://ftp.flybase.net/releases/FB2015_04/dvir_r1.03/gtf/dvir-all-r1.03.gtf.gz,dvir-all-r1.03.OG_filter,19051,12162,116597,64703,1,1,1,1,3,2,1,5,4,1,8,7,51,71,71,1.566436441,6.120256155,5.321246506,1.680969178,5.411950872,4.879468943
Drosophila willistoni,D. willistoni,D. willistoni,FlyBase,7260,http://ftp.flybase.net/releases/FB2015_04/dwil_r1.04/gtf/dwil-all-r1.04.gtf.gz,dwil-all-r1.04.OG_filter,13154,11763,63220,53084,1,1,1,1,2,2,1,4,3,1,6,6,70,70,100,1.118252147,4.806142618,4.513049392,0.856499961,4.077423584,3.882747855
Drosophila yakuba,D. yakuba,D. yakuba,FlyBase,7245,http://ftp.flybase.net/releases/FB2015_04/dyak_r1.04/gtf/dyak-all-r1.04.gtf.gz,dyak-all-r1.04.OG_filter,21579,13068,135482,67708,1,1,1,1,3,2,1,5,4,2,8,6,54,52,68,1.651285583,6.278418833,5.185644322,1.99259954,5.575272374,5.004777903
