generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.576794,-2.13819e+06,1,0
1000,2,2.33982,-65351.1,0.289275,0.728272
2000,2,-1.90525,-4428.14,1.47778,0.654
3000,1,-33.6783,-449.267,1.25717,0.64
4000,6,-51.0547,-260.89,3.31947,0.611
5000,9,-22.4556,-240.031,5.23677,0.6938
6000,10,-24.3608,-215.483,3.40216,0.689718
7000,12,-16.5649,-235.437,4.83027,0.603
8000,13,-10.7462,-218.453,4.32934,0.621
9000,9,-8.18403,-180.231,3.85522,0.632
10000,12,-2.63934,-174.668,7.19368,0.602
11000,12,2.96707,-160.989,5.87711,0.604
12000,14,-0.0518834,-156.63,5.98841,0.578286
13000,9,-10.3414,-127.894,5.65523,0.523
14000,10,-8.08807,-124.864,5.16025,0.483
15000,12,-7.47181,-132.108,5.25459,0.511
16000,8,-1.46893,-101.596,2.34022,0.5473
17000,12,-3.36954,-122.087,10.0059,0.562667
18000,11,2.54514,-117.411,5.94975,0.553
19000,12,-5.75291,-115.418,6.70989,0.479
20000,10,-5.99801,-110.846,6.01397,0.468
21000,13,2.64435,-98.6891,7.17856,0.45
22000,17,4.36011,-94.4957,9.38753,0.495
23000,19,-3.49125,-92.6202,8.75116,0.475625
24000,17,-1.29522,-94.4241,11.8466,0.46
25000,20,0.414174,-99.0495,8.08406,0.447
26000,16,-16.7862,-90.9423,12.5891,0.462
27000,16,-11.8731,-76.9254,11.8279,0.452
28000,15,-5.44433,-69.9229,7.48585,0.443
29000,14,-5.39216,-72.2174,10.6445,0.43
30000,9,0.171924,-108.445,4.18004,0.49975
31000,13,-0.633704,-82.771,6.65462,0.493
32000,12,-0.164437,-73.52,7.51433,0.617199
33000,10,0.853998,-62.262,7.93701,0.488
34000,9,-4.51983,-67.9517,4.6641,0.455667
35000,8,-0.732094,-80.5499,5.63574,0.49
36000,11,-2.98115,-76.5669,6.98506,0.468
37000,10,7.39706,-63.6095,3.90597,0.427
38000,13,-2.15352,-60.3265,7.01441,0.409
39000,13,-0.902071,-59.908,8.85078,0.442
40000,10,-5.28111,-38.2504,10.8058,0.503143
41000,8,2.08872,-42.2129,4.63005,0.458
42000,6,2.62504,-18.2064,1.76019,0.426
43000,4,-0.243627,-18.7016,2.1272,0.4
44000,5,0.490349,-14.9266,4.47869,0.407
45000,13,12.4383,-41.6949,4.37458,0.439333
46000,5,-6.26598,-11.9999,5.01818,0.4275
47000,6,-1.94304,-8.16426,5.02411,0.375
48000,5,0.358616,-19.6074,2.85669,0.388
49000,6,2.77098,-13.8564,3.00596,0.375
50000,6,1.73148,-10.7639,3.86856,0.376
51000,7,3.25021,-14.0823,5.74045,0.382
52000,7,4.33695,-15.7983,3.57513,0.424286
53000,7,-0.468145,-10.8986,5.05598,0.3675
