generation,rank_1,rank_2,swapAccepted
1000,3,4,0
2000,2,4,0
3000,1,2,1
4000,1,4,1
5000,2,4,1
6000,2,4,1
7000,1,2,1
8000,2,4,1
9000,1,3,1
10000,1,3,1
11000,1,2,1
12000,3,4,1
13000,1,3,1
14000,1,2,1
15000,3,4,1
16000,2,4,1
17000,1,3,1
18000,3,4,1
19000,2,3,1
20000,1,4,1
21000,2,3,1
22000,1,3,1
23000,1,3,1
24000,1,2,1
25000,2,4,1
26000,1,4,1
27000,3,4,1
28000,2,3,1
29000,2,3,1
30000,2,3,1
31000,1,2,1
32000,1,4,1
33000,3,4,0
34000,1,2,1
35000,1,2,1
36000,2,4,1
37000,1,3,0
38000,3,4,1
39000,2,4,1
40000,3,4,1
41000,1,2,1
42000,2,3,1
43000,2,3,1
44000,1,3,1
45000,2,3,1
46000,2,4,0
47000,3,4,1
48000,2,3,1
49000,1,2,1
50000,3,4,1
51000,1,3,1
52000,1,3,1
53000,1,2,1
54000,1,4,0
55000,1,2,1
56000,2,4,1
57000,2,4,1
58000,2,4,1
59000,1,3,1
60000,1,3,1
61000,1,4,1
62000,2,3,0
63000,2,3,1
64000,2,4,1
65000,2,4,1
66000,1,3,1
67000,2,3,1
68000,1,2,1
69000,2,4,1
70000,2,3,1
71000,3,4,1
72000,1,2,1
73000,2,3,1
74000,1,4,1
75000,1,2,1
76000,1,4,1
77000,1,3,1
78000,1,4,1
79000,2,3,1
80000,2,4,1
81000,2,3,1
82000,1,2,1
83000,3,4,1
84000,2,4,1
85000,2,4,1
86000,1,4,1
87000,2,3,1
88000,1,4,1
89000,2,3,1
90000,2,4,1
91000,2,4,1
92000,3,4,1
93000,1,2,1
94000,2,3,1
95000,2,3,1
96000,1,2,1
97000,3,4,1
98000,3,4,1
99000,3,4,1
100000,1,4,1
101000,1,3,0
102000,2,3,1
103000,1,2,1
104000,1,2,1
105000,1,3,1
106000,2,3,1
107000,2,4,1
108000,1,3,0
109000,1,3,1
110000,1,3,1
111000,1,4,1
112000,2,4,0
113000,2,4,0
114000,2,4,0
115000,2,3,1
116000,1,2,1
117000,1,4,0
118000,1,2,1
119000,1,3,1
120000,2,3,1
121000,1,3,1
122000,3,4,1
123000,1,2,1
124000,2,3,0
125000,1,4,1
126000,2,4,1
127000,1,4,1
128000,3,4,1
129000,1,2,1
130000,3,4,1
