transcript_id,num_exon
gnl|WGS:AOFF|mrna_G647_00022T0,1
gnl|WGS:AOFF|mrna_G647_00027T0,2
gnl|WGS:AOFF|mrna_G647_00028T0,1
gnl|WGS:AOFF|mrna_G647_00031T0,1
gnl|WGS:AOFF|mrna_G647_00033T0,2
gnl|WGS:AOFF|mrna_G647_00076T0,1
gnl|WGS:AOFF|mrna_G647_00077T0,2
gnl|WGS:AOFF|mrna_G647_00121T0,1
gnl|WGS:AOFF|mrna_G647_00200T0,2
gnl|WGS:AOFF|mrna_G647_00217T0,2
gnl|WGS:AOFF|mrna_G647_00233T0,1
gnl|WGS:AOFF|mrna_G647_00234T0,1
gnl|WGS:AOFF|mrna_G647_00250T0,2
gnl|WGS:AOFF|mrna_G647_00276T0,1
gnl|WGS:AOFF|mrna_G647_00333T0,1
gnl|WGS:AOFF|mrna_G647_00340T0,3
gnl|WGS:AOFF|mrna_G647_00419T0,3
gnl|WGS:AOFF|mrna_G647_00460T0,1
gnl|WGS:AOFF|mrna_G647_00472T0,2
gnl|WGS:AOFF|mrna_G647_00501T0,1
gnl|WGS:AOFF|mrna_G647_00552T0,1
gnl|WGS:AOFF|mrna_G647_00592T0,1
gnl|WGS:AOFF|mrna_G647_00663T0,2
gnl|WGS:AOFF|mrna_G647_00685T0,1
gnl|WGS:AOFF|mrna_G647_00696T0,1
gnl|WGS:AOFF|mrna_G647_00797T0,1
gnl|WGS:AOFF|mrna_G647_00822T0,1
gnl|WGS:AOFF|mrna_G647_00829T0,2
gnl|WGS:AOFF|mrna_G647_00852T0,1
gnl|WGS:AOFF|mrna_G647_00965T0,1
gnl|WGS:AOFF|mrna_G647_00966T0,2
gnl|WGS:AOFF|mrna_G647_01207T0,1
gnl|WGS:AOFF|mrna_G647_01222T0,1
gnl|WGS:AOFF|mrna_G647_01267T0,2
gnl|WGS:AOFF|mrna_G647_01268T0,1
gnl|WGS:AOFF|mrna_G647_01275T0,1
gnl|WGS:AOFF|mrna_G647_01276T0,1
gnl|WGS:AOFF|mrna_G647_01348T0,1
gnl|WGS:AOFF|mrna_G647_01356T0,2
gnl|WGS:AOFF|mrna_G647_01377T0,1
gnl|WGS:AOFF|mrna_G647_01396T0,1
gnl|WGS:AOFF|mrna_G647_01442T0,1
gnl|WGS:AOFF|mrna_G647_01455T0,1
gnl|WGS:AOFF|mrna_G647_01471T0,1
gnl|WGS:AOFF|mrna_G647_01480T0,1
gnl|WGS:AOFF|mrna_G647_01482T0,2
gnl|WGS:AOFF|mrna_G647_01487T0,1
gnl|WGS:AOFF|mrna_G647_01493T0,1
gnl|WGS:AOFF|mrna_G647_01503T0,1
gnl|WGS:AOFF|mrna_G647_01541T0,4
gnl|WGS:AOFF|mrna_G647_01553T0,1
gnl|WGS:AOFF|mrna_G647_01595T0,2
gnl|WGS:AOFF|mrna_G647_01615T0,1
gnl|WGS:AOFF|mrna_G647_01642T0,1
gnl|WGS:AOFF|mrna_G647_01670T0,1
gnl|WGS:AOFF|mrna_G647_01682T0,2
gnl|WGS:AOFF|mrna_G647_01708T0,1
gnl|WGS:AOFF|mrna_G647_01779T0,1
gnl|WGS:AOFF|mrna_G647_01891T0,1
gnl|WGS:AOFF|mrna_G647_01905T0,1
gnl|WGS:AOFF|mrna_G647_01948T0,2
gnl|WGS:AOFF|mrna_G647_01950T0,1
gnl|WGS:AOFF|mrna_G647_01952T0,2
gnl|WGS:AOFF|mrna_G647_02104T0,1
gnl|WGS:AOFF|mrna_G647_02122T0,4
gnl|WGS:AOFF|mrna_G647_02200T0,1
gnl|WGS:AOFF|mrna_G647_02225T0,2
gnl|WGS:AOFF|mrna_G647_02241T0,1
gnl|WGS:AOFF|mrna_G647_02243T0,1
gnl|WGS:AOFF|mrna_G647_02256T0,1
gnl|WGS:AOFF|mrna_G647_02401T0,1
gnl|WGS:AOFF|mrna_G647_02410T0,3
gnl|WGS:AOFF|mrna_G647_02414T0,1
gnl|WGS:AOFF|mrna_G647_02449T0,1
gnl|WGS:AOFF|mrna_G647_02463T0,2
gnl|WGS:AOFF|mrna_G647_02498T0,1
gnl|WGS:AOFF|mrna_G647_02554T0,2
gnl|WGS:AOFF|mrna_G647_02557T0,1
gnl|WGS:AOFF|mrna_G647_02579T0,2
gnl|WGS:AOFF|mrna_G647_02689T0,4
gnl|WGS:AOFF|mrna_G647_02707T0,1
gnl|WGS:AOFF|mrna_G647_02825T0,1
gnl|WGS:AOFF|mrna_G647_02838T0,1
gnl|WGS:AOFF|mrna_G647_02840T0,1
gnl|WGS:AOFF|mrna_G647_02847T0,3
gnl|WGS:AOFF|mrna_G647_02979T0,1
gnl|WGS:AOFF|mrna_G647_02989T0,1
gnl|WGS:AOFF|mrna_G647_03042T0,1
gnl|WGS:AOFF|mrna_G647_03044T0,1
gnl|WGS:AOFF|mrna_G647_03172T0,1
gnl|WGS:AOFF|mrna_G647_03289T0,1
gnl|WGS:AOFF|mrna_G647_03318T0,2
gnl|WGS:AOFF|mrna_G647_03377T0,1
gnl|WGS:AOFF|mrna_G647_03381T0,1
gnl|WGS:AOFF|mrna_G647_03424T0,1
gnl|WGS:AOFF|mrna_G647_03425T0,1
gnl|WGS:AOFF|mrna_G647_03439T0,1
gnl|WGS:AOFF|mrna_G647_03512T0,1
gnl|WGS:AOFF|mrna_G647_03514T0,1
gnl|WGS:AOFF|mrna_G647_03584T0,1
gnl|WGS:AOFF|mrna_G647_03588T0,1
gnl|WGS:AOFF|mrna_G647_03651T0,1
gnl|WGS:AOFF|mrna_G647_03764T0,2
gnl|WGS:AOFF|mrna_G647_03791T0,2
gnl|WGS:AOFF|mrna_G647_03813T0,2
gnl|WGS:AOFF|mrna_G647_03920T0,3
gnl|WGS:AOFF|mrna_G647_03929T0,1
gnl|WGS:AOFF|mrna_G647_03941T0,1
gnl|WGS:AOFF|mrna_G647_03983T0,1
gnl|WGS:AOFF|mrna_G647_04035T0,1
gnl|WGS:AOFF|mrna_G647_04045T0,1
gnl|WGS:AOFF|mrna_G647_04047T0,1
gnl|WGS:AOFF|mrna_G647_04069T0,1
gnl|WGS:AOFF|mrna_G647_04118T0,1
gnl|WGS:AOFF|mrna_G647_04280T0,2
gnl|WGS:AOFF|mrna_G647_04291T0,1
gnl|WGS:AOFF|mrna_G647_04293T0,2
gnl|WGS:AOFF|mrna_G647_04344T0,1
gnl|WGS:AOFF|mrna_G647_04346T0,2
gnl|WGS:AOFF|mrna_G647_04392T0,1
gnl|WGS:AOFF|mrna_G647_04454T0,1
gnl|WGS:AOFF|mrna_G647_04553T0,1
gnl|WGS:AOFF|mrna_G647_04687T0,1
gnl|WGS:AOFF|mrna_G647_04739T0,1
gnl|WGS:AOFF|mrna_G647_04740T0,2
gnl|WGS:AOFF|mrna_G647_04770T0,3
gnl|WGS:AOFF|mrna_G647_04785T0,2
gnl|WGS:AOFF|mrna_G647_04789T0,1
gnl|WGS:AOFF|mrna_G647_04879T0,1
gnl|WGS:AOFF|mrna_G647_04930T0,2
gnl|WGS:AOFF|mrna_G647_04931T0,1
gnl|WGS:AOFF|mrna_G647_05002T0,2
gnl|WGS:AOFF|mrna_G647_05178T0,1
gnl|WGS:AOFF|mrna_G647_05225T0,1
gnl|WGS:AOFF|mrna_G647_05282T0,1
gnl|WGS:AOFF|mrna_G647_05341T0,2
gnl|WGS:AOFF|mrna_G647_05365T0,1
gnl|WGS:AOFF|mrna_G647_05384T0,1
gnl|WGS:AOFF|mrna_G647_05388T0,1
gnl|WGS:AOFF|mrna_G647_05394T0,1
gnl|WGS:AOFF|mrna_G647_05444T0,1
gnl|WGS:AOFF|mrna_G647_05551T0,2
gnl|WGS:AOFF|mrna_G647_05568T0,1
gnl|WGS:AOFF|mrna_G647_05569T0,2
gnl|WGS:AOFF|mrna_G647_05675T0,2
gnl|WGS:AOFF|mrna_G647_05676T0,2
gnl|WGS:AOFF|mrna_G647_05732T0,2
gnl|WGS:AOFF|mrna_G647_05734T0,1
gnl|WGS:AOFF|mrna_G647_05742T0,1
gnl|WGS:AOFF|mrna_G647_05765T0,1
gnl|WGS:AOFF|mrna_G647_05781T0,1
gnl|WGS:AOFF|mrna_G647_05819T0,2
gnl|WGS:AOFF|mrna_G647_05917T0,1
gnl|WGS:AOFF|mrna_G647_06051T0,1
gnl|WGS:AOFF|mrna_G647_06052T0,2
gnl|WGS:AOFF|mrna_G647_06211T0,1
gnl|WGS:AOFF|mrna_G647_06232T0,1
gnl|WGS:AOFF|mrna_G647_06240T0,2
gnl|WGS:AOFF|mrna_G647_06241T0,1
gnl|WGS:AOFF|mrna_G647_06271T0,1
gnl|WGS:AOFF|mrna_G647_06298T0,1
gnl|WGS:AOFF|mrna_G647_06323T0,1
gnl|WGS:AOFF|mrna_G647_06329T0,2
gnl|WGS:AOFF|mrna_G647_06338T0,2
gnl|WGS:AOFF|mrna_G647_06390T0,1
gnl|WGS:AOFF|mrna_G647_06396T0,1
gnl|WGS:AOFF|mrna_G647_06422T0,1
gnl|WGS:AOFF|mrna_G647_06423T0,1
gnl|WGS:AOFF|mrna_G647_06429T0,3
gnl|WGS:AOFF|mrna_G647_06435T0,1
gnl|WGS:AOFF|mrna_G647_06655T0,1
