Amborella trichopoda
Arabidopsis thaliana
Beta vulgaris
Brassica rapa
Camelina sativa
Capsicum annuum
Carica papaya
Chenopodium quinoa 
Cicer arietinum
Citrus sinensis 
Cucumis melo
Cucurbita maxima
Durio zibethinus
Erythranthe guttata
Eucalyptus grandis
Eutrema salsugineum
Glycine max
Gossypium arboreum
Helianthus annuus
Hevea brasiliensis 
Ipomoea nil
Lactuca sativa
Malus domestica
Manihot esculenta
Momordica charantia 
Nelumbo nucifera
Nicotiana tabacum
Physcomitrium patens
Prunus persica
Pyrus x bretschneideri
Quercus suber
Rosa chinensis
Selaginella moellendorffii
Sesamum indicum
Solanum tuberosum
Theobroma cacao
Vigna angularis
Vitis vinifera
Ziziphus jujuba
Brachypodium distachyon
Oryza sativa
Sorghum bicolor
Zea mays
Musa acuminata
