Homo sapiens
Mus musculus
Loxodonta africana
Danio rerio
Strongylocentrotus purpuratus
Canis lupus familiaris
Monodelphis domestica
Sus scrofa
Oryctolagus cuniculus
Branchiostoma floridae
Xenopus tropicalis
Anolis carolinensis
Cavia porcellus
Microcebus murinus
Felis catus
Python bivittatus
Ciona intestinalis
Latimeria chalumnae
Pelodiscus sinensis
Alligator mississippiensis
Erinaceus europaeus
Echinops telfairi
Orcinus orca
Tupaia chinensis
Columba livia
Alligator sinensis
Poecilia reticulata
Galeopterus variegatus
Tinamus guttatus
Nipponia nippon
Nanorana parkeri
Colobus angolensis palliatus
Mandrillus leucophaeus
Propithecus coquereli
Apteryx mantelli mantelli #actually tip, Apteryx australis below is to get the tip needed
Apteryx australis
Thamnophis sirtalis
Gekko japonicus
Parus major
Branchiostoma belcheri
Rhincodon typus
Crocodylus porosus
Gavialis gangeticus
Oreochromis niloticus
Acanthaster planci
Oryzias latipes
Bos taurus 
Delphinapterus leucas
Equus caballus
Pan troglodytes
Pongo abelii
Terrapene carolina triunguis
Macaca mulatta
Taeniopygia guttata
Ornithorhynchus anatinus
Nomascus leucogenys
Gorilla gorilla gorilla
Callithrix jacchus
Fundulus heteroclitus
Tursiops truncatus
Ochotona princeps 
Rattus norvegicus
Chelonia mydas
Anas platyrhynchos
Gallus domesticus
Callorhinchus milii
Pogona vitticeps
Takifugu rubripes
Sarcophilus harrisii
