generation,rank_1,rank_2,swapAccepted
1000,1,2,1
2000,2,3,0
3000,2,4,0
4000,2,4,0
5000,3,4,0
6000,3,4,0
7000,1,2,1
8000,2,4,0
9000,3,4,1
10000,2,4,1
11000,2,4,1
12000,2,3,1
13000,1,4,0
14000,3,4,1
15000,1,2,1
16000,1,2,1
17000,1,4,0
18000,3,4,1
19000,1,2,1
20000,1,4,1
21000,1,3,1
22000,2,3,1
23000,1,3,1
24000,1,3,1
25000,2,4,1
26000,1,2,1
27000,1,4,1
28000,1,4,1
29000,1,3,1
30000,2,4,1
31000,2,4,0
32000,3,4,0
33000,1,2,1
34000,1,2,1
35000,2,3,1
36000,1,2,1
37000,2,4,1
38000,3,4,1
39000,1,2,1
40000,3,4,1
41000,1,4,1
42000,2,4,0
43000,2,3,1
44000,3,4,1
45000,1,3,1
46000,2,4,0
47000,1,4,1
48000,2,4,1
49000,1,2,1
50000,1,3,0
51000,2,4,1
52000,1,2,1
53000,2,3,0
54000,2,3,1
55000,2,3,1
56000,1,3,0
57000,3,4,1
58000,2,4,1
59000,1,4,0
60000,1,4,1
61000,1,2,1
62000,1,2,1
63000,3,4,1
64000,3,4,1
65000,2,3,1
66000,1,3,1
67000,1,3,1
68000,2,4,1
69000,2,4,1
70000,2,4,1
71000,1,3,1
72000,1,4,0
73000,1,2,1
74000,1,2,1
75000,3,4,1
76000,3,4,1
77000,1,3,1
78000,1,4,1
79000,3,4,1
80000,1,2,1
81000,2,4,1
82000,1,2,0
83000,1,4,0
84000,2,4,1
85000,1,2,1
86000,1,4,1
87000,1,4,1
88000,3,4,0
89000,3,4,1
90000,3,4,1
91000,1,4,1
92000,1,2,1
93000,2,3,1
94000,2,3,1
95000,3,4,1
96000,1,2,1
97000,1,4,1
98000,1,3,1
99000,2,3,1
100000,1,3,1
101000,1,3,1
102000,1,3,1
103000,2,4,1
104000,1,2,1
105000,1,3,1
106000,1,4,1
107000,1,4,0
108000,1,2,1
109000,1,4,1
110000,1,4,1
111000,2,3,1
112000,1,2,0
113000,1,2,1
114000,3,4,1
115000,2,4,1
116000,2,3,1
117000,2,3,1
118000,1,3,0
119000,2,3,1
120000,1,4,1
121000,1,2,1
122000,1,3,1
123000,1,2,1
124000,3,4,1
125000,2,4,1
126000,2,4,1
127000,2,3,1
128000,1,3,1
129000,2,3,1
130000,1,4,1
131000,3,4,1
132000,3,4,1
133000,2,3,1
134000,3,4,1
135000,1,3,1
136000,1,4,1
137000,2,3,1
138000,1,3,1
139000,1,4,1
140000,1,4,1
141000,1,3,1
142000,1,4,0
143000,1,2,1
144000,3,4,1
145000,3,4,1
146000,2,3,1
147000,2,3,1
148000,1,3,1
149000,1,2,0
150000,2,3,1
151000,2,3,1
152000,2,3,1
153000,3,4,1
154000,1,3,1
155000,2,3,1
156000,3,4,1
157000,2,4,0
158000,1,3,1
159000,1,4,0
160000,2,3,0
161000,2,4,0
162000,1,2,1
163000,2,4,0
164000,2,4,1
165000,3,4,1
166000,2,3,1
167000,2,3,1
168000,3,4,0
169000,1,3,1
170000,1,2,1
171000,2,4,1
172000,1,4,1
173000,2,4,1
174000,2,3,1
175000,2,4,1
176000,2,3,1
177000,1,4,1
178000,3,4,1
179000,1,2,1
180000,3,4,1
181000,1,3,0
182000,3,4,1
183000,2,3,1
184000,3,4,1
185000,2,3,1
186000,2,3,1
187000,1,3,0
188000,3,4,1
189000,2,4,0
190000,2,3,1
191000,1,4,0
192000,1,3,1
193000,1,2,1
194000,1,3,1
195000,1,2,1
196000,3,4,0
197000,2,3,1
198000,1,3,1
199000,3,4,1
200000,3,4,1
201000,1,2,1
202000,2,3,1
203000,2,3,1
204000,1,3,1
205000,1,4,0
206000,3,4,1
207000,1,2,1
208000,3,4,1
209000,2,4,1
210000,1,4,1
211000,2,3,1
212000,3,4,1
213000,1,2,1
214000,2,3,1
215000,1,4,1
216000,1,3,1
217000,1,2,1
218000,2,3,1
219000,1,2,1
220000,3,4,1
221000,2,4,1
222000,2,4,0
223000,1,2,1
224000,3,4,0
225000,1,3,1
226000,1,2,1
227000,1,4,0
228000,1,4,1
229000,2,3,1
230000,2,4,1
231000,2,4,1
232000,1,4,1
233000,3,4,1
234000,2,4,1
235000,2,3,0
236000,1,4,1
237000,1,2,1
238000,1,2,1
239000,1,4,1
240000,1,2,1
241000,1,3,0
242000,2,4,1
243000,1,2,1
244000,1,3,1
245000,3,4,1
246000,1,3,1
247000,3,4,1
248000,2,3,1
249000,2,3,1
250000,2,4,1
251000,1,2,1
252000,1,2,1
253000,1,3,1
254000,1,3,1
255000,2,4,1
256000,1,4,0
257000,1,2,1
258000,1,3,1
259000,3,4,1
260000,1,4,1
261000,2,4,1
262000,1,4,1
263000,2,4,1
264000,2,4,1
265000,1,3,1
266000,1,2,1
267000,1,4,1
268000,2,4,1
269000,1,2,1
270000,2,4,1
271000,3,4,1
272000,1,3,1
273000,2,3,1
274000,1,3,0
275000,2,3,1
276000,2,3,1
277000,1,4,1
278000,1,3,1
279000,3,4,1
280000,3,4,1
281000,1,2,1
282000,1,2,1
283000,2,3,1
284000,3,4,1
285000,1,3,1
286000,3,4,1
287000,1,4,0
288000,2,3,1
289000,2,3,0
290000,2,4,0
291000,1,4,1
292000,3,4,1
293000,2,4,1
294000,1,2,1
295000,1,2,1
296000,2,3,1
297000,1,4,1
298000,1,2,1
299000,2,4,1
300000,3,4,1
301000,2,3,1
302000,2,4,0
303000,1,2,1
304000,3,4,0
305000,2,3,1
306000,1,4,0
307000,2,4,1
308000,1,3,1
309000,1,2,1
310000,1,2,1
311000,3,4,1
312000,2,3,1
313000,3,4,1
314000,2,3,1
315000,3,4,0
316000,2,3,1
317000,1,3,1
318000,2,3,1
319000,2,3,1
320000,2,3,1
321000,3,4,1
322000,2,3,1
323000,2,4,1
324000,2,4,1
325000,2,4,1
326000,3,4,0
327000,1,3,1
328000,1,3,1
329000,1,3,0
330000,3,4,1
331000,2,4,1
332000,2,4,1
333000,1,3,0
334000,3,4,1
335000,2,4,1
336000,1,4,0
337000,2,3,1
338000,1,3,1
339000,1,3,1
340000,1,4,1
341000,1,3,1
342000,1,3,1
343000,3,4,1
344000,2,3,1
345000,2,3,1
346000,2,3,1
347000,2,3,1
348000,1,2,1
349000,1,3,1
350000,1,3,1
351000,2,4,1
352000,1,4,0
353000,1,3,1
354000,2,4,0
355000,2,3,1
356000,1,3,0
357000,2,3,1
358000,2,4,0
359000,1,4,1
360000,2,3,1
361000,3,4,1
362000,3,4,1
363000,3,4,1
364000,2,3,1
365000,1,4,1
366000,1,2,1
367000,1,2,1
368000,1,2,1
369000,1,3,0
370000,1,2,1
371000,1,2,1
372000,1,2,1
373000,2,4,0
374000,1,3,1
375000,3,4,1
376000,2,4,1
377000,1,3,1
378000,2,4,1
379000,1,4,1
380000,1,3,1
381000,2,3,1
382000,2,3,1
383000,1,3,1
384000,1,4,0
385000,2,4,1
386000,2,3,1
387000,1,2,1
388000,1,3,1
389000,1,3,1
390000,3,4,1
391000,1,3,1
392000,1,3,1
393000,1,2,1
394000,2,4,0
395000,1,3,1
396000,3,4,1
397000,1,2,1
398000,1,4,0
399000,1,4,1
400000,1,4,1
401000,2,4,1
402000,1,4,1
403000,1,4,1
404000,1,4,1
405000,1,3,1
406000,2,3,1
407000,1,3,1
408000,2,4,1
409000,2,4,1
410000,1,2,1
411000,1,3,0
412000,1,2,0
413000,2,3,1
414000,3,4,1
415000,2,3,1
416000,3,4,1
417000,1,2,0
418000,1,4,1
419000,1,2,0
420000,2,4,1
421000,1,3,0
422000,3,4,1
423000,1,3,0
424000,1,3,0
425000,1,2,1
426000,1,4,0
427000,1,3,0
428000,1,4,0
429000,3,4,1
430000,2,3,1
431000,1,3,1
432000,2,4,1
433000,2,4,1
434000,3,4,0
435000,2,3,1
436000,2,4,0
437000,3,4,1
438000,1,4,1
439000,2,4,1
440000,1,3,0
441000,1,4,1
442000,2,3,1
443000,2,4,1
444000,1,4,1
445000,2,3,1
446000,2,3,1
447000,2,3,1
448000,1,4,1
449000,2,4,1
450000,1,4,0
451000,2,4,1
452000,3,4,1
453000,3,4,1
454000,2,3,1
455000,1,3,1
456000,1,3,1
457000,2,3,1
458000,1,2,1
459000,2,3,1
460000,3,4,1
461000,2,3,1
462000,1,4,1
463000,3,4,1
464000,2,3,1
465000,2,3,1
466000,2,3,1
467000,1,2,1
468000,1,2,1
469000,2,3,1
470000,1,2,1
471000,2,3,1
472000,2,3,1
473000,1,3,0
474000,1,3,1
475000,1,2,1
476000,1,4,1
477000,2,3,1
478000,1,2,1
479000,2,3,0
480000,1,3,0
481000,2,3,0
482000,2,4,1
483000,2,3,0
484000,1,4,1
485000,2,3,1
486000,1,4,1
487000,2,3,1
488000,1,2,1
489000,3,4,1
490000,1,2,1
491000,1,4,0
492000,2,4,1
493000,3,4,1
494000,3,4,1
495000,1,2,1
496000,2,3,1
497000,2,3,1
498000,1,2,1
499000,2,3,1
500000,1,2,0
501000,1,4,0
502000,2,3,1
503000,1,2,1
504000,2,3,0
505000,2,4,1
506000,1,3,1
507000,1,3,0
508000,2,3,1
509000,2,3,1
510000,1,4,1
511000,1,4,1
512000,1,4,1
513000,2,4,1
514000,1,3,1
515000,1,3,1
516000,3,4,1
517000,1,3,1
518000,2,3,1
519000,2,4,1
520000,3,4,1
521000,1,2,1
522000,1,3,1
523000,1,4,1
524000,3,4,1
525000,3,4,1
526000,1,4,0
527000,1,4,1
528000,1,4,1
529000,1,3,0
530000,3,4,1
531000,2,4,0
532000,1,4,0
533000,3,4,1
534000,2,3,1
535000,1,3,1
536000,2,3,1
537000,2,3,1
538000,1,2,1
539000,3,4,1
540000,1,4,1
541000,1,2,0
542000,3,4,0
543000,2,4,1
544000,1,3,1
545000,1,2,1
546000,2,4,1
547000,2,3,1
548000,3,4,1
549000,1,4,1
550000,2,3,1
551000,3,4,0
552000,2,4,0
553000,2,4,0
554000,2,3,1
555000,2,3,1
556000,1,3,1
557000,3,4,1
558000,1,2,1
559000,2,3,1
560000,2,4,1
561000,1,2,1
562000,1,3,1
563000,2,4,1
564000,2,4,1
565000,2,3,1
566000,3,4,1
567000,2,4,1
568000,1,4,0
569000,1,4,1
570000,1,4,1
571000,1,4,1
572000,1,2,1
573000,2,4,1
574000,3,4,1
575000,2,4,1
576000,3,4,1
577000,2,3,1
578000,3,4,1
579000,3,4,1
580000,1,3,1
581000,3,4,1
582000,2,4,1
583000,2,3,1
584000,1,3,1
585000,3,4,1
586000,1,4,0
587000,2,4,1
588000,3,4,1
589000,1,4,1
590000,1,2,1
591000,1,3,1
592000,2,4,1
593000,1,4,1
594000,1,3,1
595000,1,2,1
596000,2,4,1
597000,1,3,1
598000,2,4,1
599000,2,4,1
600000,2,4,1
601000,3,4,1
602000,2,3,1
603000,2,3,1
604000,1,3,0
605000,1,3,1
606000,2,4,1
607000,1,2,1
608000,2,4,1
609000,2,4,1
610000,1,3,1
611000,2,4,1
612000,1,4,1
613000,1,3,1
614000,3,4,1
615000,1,3,1
616000,1,3,1
617000,1,4,1
618000,1,4,1
619000,2,3,1
620000,1,2,1
621000,1,2,1
622000,2,4,1
623000,3,4,1
624000,2,3,1
625000,2,4,1
626000,1,3,0
627000,1,2,1
628000,2,3,1
629000,1,4,1
630000,2,3,1
631000,2,3,0
632000,2,3,1
633000,1,2,1
634000,1,3,1
635000,1,2,1
636000,3,4,1
637000,1,4,1
638000,1,3,0
639000,1,3,1
640000,1,4,1
641000,3,4,1
642000,1,3,1
643000,3,4,0
644000,1,4,1
645000,3,4,1
646000,1,4,1
647000,2,4,1
648000,2,3,1
649000,2,4,1
650000,2,4,1
651000,1,4,0
652000,1,4,1
653000,1,2,1
654000,1,2,0
655000,1,3,1
656000,1,3,1
657000,1,3,1
658000,1,4,1
659000,1,3,1
660000,1,2,1
661000,1,4,1
662000,1,3,1
663000,2,3,1
664000,3,4,1
665000,2,3,1
666000,1,4,1
667000,1,4,1
668000,1,2,0
669000,1,4,1
670000,1,4,1
671000,1,3,1
672000,3,4,1
673000,2,3,1
674000,1,4,0
675000,3,4,1
676000,3,4,1
677000,2,4,1
678000,1,3,1
679000,2,4,1
680000,1,2,1
681000,3,4,1
682000,1,4,1
683000,2,4,1
684000,2,4,1
685000,3,4,1
686000,1,4,0
687000,2,4,1
688000,1,3,1
689000,2,3,1
690000,2,4,1
691000,1,4,1
692000,1,3,1
693000,1,4,0
694000,1,2,1
695000,1,3,1
696000,1,2,1
697000,1,2,1
698000,1,4,1
699000,1,3,1
700000,2,3,1
701000,1,4,1
702000,1,3,1
703000,1,4,1
704000,1,2,1
705000,2,3,1
706000,1,2,1
707000,2,3,1
708000,2,4,1
709000,1,4,0
710000,1,4,0
711000,2,4,0
712000,1,4,0
713000,1,3,0
714000,1,2,1
715000,2,4,0
716000,2,4,1
717000,3,4,1
718000,1,4,0
719000,1,3,1
720000,1,4,0
721000,2,4,1
722000,2,3,1
723000,2,3,1
724000,1,4,1
725000,1,3,0
726000,2,3,1
727000,3,4,1
728000,1,2,1
729000,1,2,1
730000,2,3,1
731000,3,4,1
732000,2,3,1
733000,2,4,1
734000,1,4,1
735000,1,2,1
736000,2,3,1
737000,1,3,1
738000,3,4,1
739000,1,3,1
740000,1,3,0
741000,1,3,1
742000,2,3,1
743000,2,4,1
744000,2,4,1
745000,2,4,1
746000,1,3,1
747000,3,4,1
748000,1,4,1
749000,3,4,1
750000,3,4,1
751000,3,4,1
752000,1,4,1
753000,1,3,0
754000,1,3,1
755000,2,3,1
756000,2,3,1
757000,1,4,1
758000,3,4,1
759000,1,4,1
760000,1,3,1
761000,1,3,1
762000,1,2,1
763000,1,3,1
764000,3,4,1
765000,1,3,1
766000,1,2,1
767000,2,3,1
768000,1,2,0
769000,1,2,1
770000,1,4,1
771000,1,4,1
772000,3,4,1
773000,3,4,1
774000,2,3,0
775000,2,4,1
776000,2,4,1
777000,1,3,1
778000,1,3,1
779000,3,4,1
780000,2,4,1
781000,1,2,1
782000,3,4,1
783000,2,3,1
784000,1,3,1
785000,1,2,1
786000,2,3,1
787000,2,4,1
788000,1,2,1
789000,1,4,0
790000,2,4,1
791000,1,4,1
792000,1,4,1
793000,3,4,1
794000,1,4,1
795000,2,4,1
796000,2,3,0
797000,1,4,1
798000,1,4,1
799000,1,3,1
800000,2,3,1
801000,3,4,1
802000,2,3,1
803000,1,2,1
804000,1,3,1
805000,2,3,1
806000,1,3,1
807000,2,4,1
808000,2,4,1
809000,1,3,1
810000,1,3,1
811000,1,2,0
812000,2,4,1
813000,1,2,1
814000,1,2,1
815000,2,4,1
816000,1,4,1
817000,1,4,1
818000,2,3,1
819000,1,2,0
820000,3,4,1
821000,2,4,1
822000,1,3,1
823000,1,2,1
824000,2,3,1
825000,1,4,1
826000,2,3,1
827000,1,4,1
828000,2,4,1
829000,3,4,0
830000,2,3,1
831000,1,3,1
832000,1,2,1
833000,2,3,1
834000,2,3,1
