generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.576794,-2.33706e+09,1,0
1000,1,-33.4968,-3255.15,1.9183,0.502498
2000,5,-135.18,-452.99,2.99268,0.478
3000,3,-35.059,-152.975,3.3735,0.50883
4000,5,-16.7849,-149.786,3.17091,0.504
5000,6,-26.5544,-134.459,2.17534,0.497
6000,10,-42.0155,-114.647,4.1237,0.459423
7000,14,-38.111,-112.066,4.84825,0.422
8000,14,-46.0721,-107.46,7.98452,0.42
9000,9,-51.0216,-83.0428,4.46351,0.409
10000,9,-32.1345,-91.8362,1.37897,0.394
11000,10,-44.4237,-93.2717,7.24677,0.396
12000,7,-7.51126,-117.144,3.79387,0.464571
13000,7,-13.9514,-103.848,4.79599,0.455
14000,6,-10.0774,-109.848,2.88101,0.458
15000,6,-8.32911,-113.062,2.60117,0.426
16000,9,-7.92327,-108.412,4.45513,0.426
17000,7,-8.19445,-110.174,3.18487,0.457
18000,9,-13.3186,-102.769,5.91413,0.472
19000,11,-9.87997,-102.345,6.90721,0.457
20000,7,-16.8941,-50.1386,4.88415,0.405444
21000,4,-10.4382,-52.2604,4.62494,0.446
22000,9,-6.76975,-73.1819,6.99999,0.417136
23000,11,-6.65052,-62.4283,5.68654,0.356
24000,9,-3.46537,-63.0238,5.22349,0.35
25000,8,0.820854,-67.4397,2.6793,0.327
26000,4,-1.96156,-50.1351,3.93778,0.3896
27000,5,-0.242452,-50.4284,1.94341,0.338
28000,8,-7.90541,-46.3063,6.51059,0.41
29000,4,-4.37094,-43.559,1.51509,0.375
30000,10,-1.36931,-63.6954,6.40774,0.3292
31000,11,0.604301,-61.5677,5.22566,0.355
32000,10,-3.6242,-59.2141,8.28602,0.304
33000,9,1.27333,-66.4511,4.97738,0.305
34000,9,-9.69719,-99.1241,5.41498,0.472
35000,8,-10.7305,-102.658,5.34135,0.5
36000,13,-10.8048,-102.73,6.69271,0.506
37000,12,-7.4034,-104.177,5.9575,0.476
38000,9,-2.80644,-95.7275,3.47597,0.479
39000,8,-14.2516,-88.5678,6.63469,0.453
40000,6,-12.4896,-90.7901,3.29103,0.429
41000,16,-8.69849,-85.5808,8.90237,0.4
42000,11,-13.2695,-84.7311,6.50293,0.427
43000,11,-19.3655,-69.8842,3.68067,0.3532
44000,4,-3.83543,-49.6149,2.80078,0.353
45000,4,-8.80777,-44.6906,3.46564,0.413
46000,5,-3.3601,-47.2968,2.34944,0.381
47000,3,-6.69558,-51.4538,1.46971,0.393
48000,2,-11.6792,-49.4571,1.03225,0.422
49000,4,-6.91618,-52.6281,1.28725,0.409
